date_only,BUY,SELL,long_count,short_count,long_ratio
2024-10-17,7,2,7,2,0.7777777777777778
2024-10-18,1,5,1,5,0.16666666666666666
2024-10-19,4,0,4,0,1.0
2024-10-20,7,89,7,89,0.07291666666666667
2024-10-21,79,94,79,94,0.45664739884393063
2024-10-22,3,0,3,0,1.0
2024-10-23,15,3,15,3,0.8333333333333334
2024-10-25,14,16,14,16,0.4666666666666667
2024-10-26,6,0,6,0,1.0
2024-10-27,0,4,0,4,0.0
2024-10-28,0,13,0,13,0.0
2024-10-29,3,50,3,50,0.05660377358490566
2024-10-30,8,17,8,17,0.32
2024-10-31,42,6,42,6,0.875
2024-11-01,13,10,13,10,0.5652173913043478
2024-11-02,2,0,2,0,1.0
2024-11-03,6,0,6,0,1.0
2024-11-04,13,23,13,23,0.3611111111111111
2024-11-05,5,5,5,5,0.5
2024-11-06,6,9,6,9,0.4
2024-11-07,53,60,53,60,0.4690265486725664
2024-11-08,23,16,23,16,0.5897435897435898
2024-11-09,53,33,53,33,0.6162790697674418
2024-11-10,48,125,48,125,0.2774566473988439
2024-11-11,94,279,94,279,0.2520107238605898
2024-11-12,98,73,98,73,0.5730994152046783
2024-11-13,16,32,16,32,0.3333333333333333
2024-11-14,82,28,82,28,0.7454545454545455
2024-11-15,91,58,91,58,0.610738255033557
2024-11-16,77,80,77,80,0.49044585987261147
2024-11-17,73,136,73,136,0.3492822966507177
2024-11-18,125,221,125,221,0.36127167630057805
2024-11-19,160,145,160,145,0.5245901639344263
2024-11-20,244,306,244,306,0.44363636363636366
2024-11-21,235,300,235,300,0.4392523364485981
2024-11-22,327,352,327,352,0.48159057437407954
2024-11-23,150,213,150,213,0.4132231404958678
2024-11-24,103,69,103,69,0.5988372093023255
2024-11-25,126,129,126,129,0.49411764705882355
2024-11-26,197,105,197,105,0.652317880794702
2024-11-27,72,141,72,141,0.3380281690140845
2024-11-28,207,125,207,125,0.6234939759036144
2024-11-29,148,245,148,245,0.37659033078880405
2024-11-30,103,270,103,270,0.2761394101876676
2024-12-01,144,272,144,272,0.34615384615384615
2024-12-02,156,114,156,114,0.5777777777777777
2024-12-03,170,204,170,204,0.45454545454545453
2024-12-04,96,223,96,223,0.30094043887147337
2024-12-05,192,264,192,264,0.42105263157894735
2024-12-06,205,198,205,198,0.5086848635235732
2024-12-07,110,194,110,194,0.3618421052631579
2024-12-08,82,338,82,338,0.19523809523809524
2024-12-09,455,84,455,84,0.8441558441558441
2024-12-10,530,1066,530,1066,0.33208020050125314
2024-12-11,171,1050,171,1050,0.14004914004914004
2024-12-12,421,1511,421,1511,0.2179089026915114
2024-12-13,676,497,676,497,0.5763000852514919
2024-12-14,595,640,595,640,0.4817813765182186
2024-12-15,1131,566,1131,566,0.6664702416028285
2024-12-16,423,632,423,632,0.4009478672985782
2024-12-17,851,1090,851,1090,0.43843379701184954
2024-12-18,715,714,715,714,0.5003498950314905
2024-12-19,1201,2138,1201,2138,0.35968852949985025
2024-12-20,1129,1359,1129,1359,0.4537781350482315
2024-12-21,596,1085,596,1085,0.3545508625817965
2024-12-22,448,326,448,326,0.5788113695090439
2024-12-23,1036,1311,1036,1311,0.4414145717937793
2024-12-24,118,220,118,220,0.34911242603550297
2024-12-25,86,122,86,122,0.41346153846153844
2024-12-26,373,324,373,324,0.5351506456241033
2024-12-27,137,123,137,123,0.5269230769230769
2024-12-28,57,104,57,104,0.35403726708074534
2024-12-29,69,132,69,132,0.34328358208955223
2024-12-30,183,121,183,121,0.6019736842105263
2024-12-31,141,165,141,165,0.46078431372549017
2025-01-01,68,28,68,28,0.7083333333333334
2025-01-02,107,254,107,254,0.296398891966759
2025-01-03,169,339,169,339,0.33267716535433073
2025-01-04,76,295,76,295,0.20485175202156333
2025-01-05,65,174,65,174,0.2719665271966527
2025-01-06,148,425,148,425,0.2582897033158813
2025-01-07,562,75,562,75,0.8822605965463108
2025-01-08,745,294,745,294,0.7170356111645814
2025-01-09,201,321,201,321,0.3850574712643678
2025-01-10,366,453,366,453,0.4468864468864469
2025-01-11,166,117,166,117,0.5865724381625441
2025-01-12,81,521,81,521,0.1345514950166113
2025-01-13,240,168,240,168,0.5882352941176471
2025-01-14,92,183,92,183,0.33454545454545453
2025-01-15,93,174,93,174,0.34831460674157305
2025-01-16,114,257,114,257,0.30727762803234504
2025-01-17,95,143,95,143,0.39915966386554624
2025-01-18,353,298,353,298,0.5422427035330261
2025-01-19,841,726,841,726,0.5366943203573707
2025-01-20,755,560,755,560,0.5741444866920152
2025-01-21,145,385,145,385,0.27358490566037735
2025-01-22,297,535,297,535,0.35697115384615385
2025-01-23,561,657,561,657,0.4605911330049261
2025-01-24,358,516,358,516,0.4096109839816934
2025-01-25,315,191,315,191,0.6225296442687747
2025-01-26,176,275,176,275,0.3902439024390244
2025-01-27,510,263,510,263,0.6597671410090556
2025-01-28,157,341,157,341,0.3152610441767068
2025-01-29,438,472,438,472,0.48131868131868133
2025-01-30,267,800,267,800,0.25023430178069356
2025-01-31,323,693,323,693,0.31791338582677164
2025-02-01,352,282,352,282,0.555205047318612
2025-02-02,833,486,833,486,0.6315390447308568
2025-02-03,1091,1289,1091,1289,0.4584033613445378
2025-02-04,1143,1369,1143,1369,0.455015923566879
2025-02-05,689,608,689,608,0.5312259059367772
2025-02-06,1163,540,1163,540,0.6829125073399882
2025-02-07,957,567,957,567,0.6279527559055118
2025-02-08,451,124,451,124,0.7843478260869565
2025-02-09,428,336,428,336,0.5602094240837696
2025-02-10,360,529,360,529,0.4049493813273341
2025-02-11,362,486,362,486,0.4268867924528302
2025-02-12,406,625,406,625,0.3937924345295829
2025-02-13,593,777,593,777,0.43284671532846714
2025-02-14,532,1123,532,1123,0.3214501510574018
2025-02-15,573,359,573,359,0.6148068669527897
2025-02-16,345,336,345,336,0.5066079295154186
2025-02-17,623,318,623,318,0.6620616365568545
2025-02-18,1051,625,1051,625,0.6270883054892601
2025-02-19,864,497,864,497,0.6348273328434975
2025-02-20,788,1224,788,1224,0.39165009940357853
2025-02-21,744,1129,744,1129,0.397223705285638
2025-02-22,360,326,360,326,0.5247813411078717
2025-02-23,283,237,283,237,0.5442307692307692
2025-02-24,3255,2361,3255,2361,0.5795940170940171
2025-02-25,4236,2010,4236,2010,0.6781940441882806
2025-02-26,387,789,387,789,0.32908163265306123
2025-02-27,406,484,406,484,0.45617977528089887
2025-02-28,530,489,530,489,0.5201177625122669
2025-03-01,105,69,105,69,0.603448275862069
2025-03-02,274,258,274,258,0.5150375939849624
2025-03-03,1069,413,1069,413,0.7213225371120108
2025-03-04,1748,654,1748,654,0.7277268942547876
2025-03-05,375,1285,375,1285,0.22590361445783133
2025-03-06,371,389,371,389,0.4881578947368421
2025-03-07,1227,1325,1227,1325,0.4807993730407524
2025-03-08,288,241,288,241,0.5444234404536862
2025-03-09,947,475,947,475,0.6659634317862166
2025-03-10,1570,1341,1570,1341,0.539333562349708
2025-03-11,2120,1166,2120,1166,0.6451612903225806
2025-03-12,1647,2321,1647,2321,0.41507056451612906
2025-03-13,468,494,468,494,0.4864864864864865
2025-03-14,297,1913,297,1913,0.1343891402714932
2025-03-15,154,107,154,107,0.5900383141762452
2025-03-16,304,226,304,226,0.5735849056603773
2025-03-17,483,437,483,437,0.525
2025-03-18,341,493,341,493,0.4088729016786571
2025-03-19,563,1049,563,1049,0.34925558312655086
2025-03-20,238,533,238,533,0.3086900129701686
2025-03-21,346,352,346,352,0.49570200573065903
2025-03-22,222,313,222,313,0.41495327102803736
2025-03-23,290,157,290,157,0.6487695749440716
2025-03-24,213,814,213,814,0.2074001947419669
2025-03-25,422,369,422,369,0.5335018963337548
2025-03-26,1574,1528,1574,1528,0.5074145712443585
2025-03-27,474,311,474,311,0.6038216560509554
2025-03-28,533,195,533,195,0.7321428571428571
2025-03-29,997,897,997,897,0.5263991552270327
2025-03-30,478,90,478,90,0.8415492957746479
2025-03-31,214,281,214,281,0.43232323232323233
2025-04-01,92,100,92,100,0.4791666666666667
2025-04-02,128,948,128,948,0.11895910780669144
2025-04-03,956,792,956,792,0.5469107551487414
2025-04-04,499,773,499,773,0.3922955974842767
2025-04-05,138,222,138,222,0.38333333333333336
2025-04-06,678,370,678,370,0.6469465648854962
2025-04-07,1415,1399,1415,1399,0.5028429282160626
2025-04-08,430,513,430,513,0.4559915164369035
